date,total,new,days_covered
2026-08-03,7,7,1
2026-08-04,13,6,1
2026-08-05,19,6,1
2026-08-06,19,0,1
2026-08-07,31,12,1
2026-08-08,36,5,1
2026-08-09,42,6,1
2026-08-10,55,13,1
2026-08-11,59,4,1
2026-08-12,61,2,1
2026-08-13,62,1,1
2026-08-14,62,0,1
2026-08-15,73,11,1
2026-08-16,75,2,1
2026-08-17,79,4,1
2026-08-18,83,4,1
2026-08-19,85,2,1
2026-08-20,85,0,1
2026-08-21,86,1,1
2026-08-22,97,11,1
2026-08-23,98,1,1
2026-08-24,98,0,1
2026-08-25,98,0,1
2026-08-26,100,2,1
2026-08-27,100,0,1
2026-08-28,100,0,1
2026-08-29,100,0,1
2026-08-30,106,6,1
2026-08-31,106,0,1
2026-09-01,107,1,1
2026-09-02,110,3,1
2026-09-03,110,0,1
2026-09-04,111,1,1
2026-09-05,111,0,1
2026-09-06,112,1,1
2026-09-07,112,0,1
2026-09-08,112,0,1
2026-09-09,112,0,1
2026-09-10,112,0,1
2026-09-11,112,0,1
2026-09-12,112,0,1
2026-09-13,112,0,1
2026-09-14,112,0,1
2026-09-15,112,0,1
2026-09-16,113,1,1
2026-09-17,115,2,1
2026-09-18,115,0,1
2026-09-19,116,1,1
2026-09-20,116,0,1
2026-09-21,116,0,1
2026-09-22,116,0,1
2026-09-23,116,0,1
